=== [민생경제과] 시스템: 45,194,563천원 | PDF목표: 33,194,563천원 | 차액: +12,000,000천원 ===
      예산구분                         세부사업명             통계목명                          산출근거명                       산출근거식   예산액_num       정산 상태
3041   본예산         저소득 노인가구 건강보험료 지원   사회보장적수혜금(취약계층, 지방재원)               Ο저소득 노인가구 건강보험료 지원         122,850,000원     122850  🔄 경정 대체 제외
3042  추경1회         저소득 노인가구 건강보험료 지원   사회보장적수혜금(취약계층, 지방재원)               Ο저소득 노인가구 건강보험료 지원      경정 114,150,000원     114150     ✅ 정산 포함
3043   본예산  독거노인 응급안전안심서비스 종사자 처우개선비   사회보장적수혜금(취약계층, 지방재원)        Ο독거노인 응급안전안심서비스 종사자 처우개선비           4,500,000원       4500  🔄 경정 대체 제외
3044  추경1회  독거노인 응급안전안심서비스 종사자 처우개선비   사회보장적수혜금(취약계층, 지방재원)        Ο독거노인 응급안전안심서비스 종사자 처우개선비        경정 5,400,000원       5400     ✅ 정산 포함
3045   본예산         응급안전안심서비스 모니터링 지원               사회복지사업보조               Ο응급안전안심서비스 모니터링 지원           9,000,000원       9000     ✅ 정산 포함
3046  추경1회           노인맞춤돌봄서비스 웰빙보조비   사회보장적수혜금(취약계층, 지방재원)                 Ο노인맞춤돌봄서비스 웰빙보조비           5,520,000원       5520     ✅ 정산 포함
3047  추경1회      독거노인 응급안전안심서비스 웰빙보조비   사회보장적수혜금(취약계층, 지방재원)            Ο독거노인 응급안전안심서비스 웰빙보조비           2,160,000원       2160     ✅ 정산 포함
3048  추경2회           폭염 취약분야 보호대책 강화                  사무관리비            Ο폭염 취약분야 보호대책 강화(성립전)          48,000,000원      48000     ✅ 정산 포함
3049   본예산              재가노인 복지시설 운영          사회복지시설법정운영비보조                    Ο재가노인 복지시설 운영         225,000,000원     225000  🔄 경정 대체 제외
3050  추경1회              재가노인 복지시설 운영          사회복지시설법정운영비보조                    Ο재가노인 복지시설 운영    경정 1,014,000,000원    1014000     ✅ 정산 포함
3051  추경1회              재가노인 복지시설 운영               사회복지사업보조               Ο재가노인 복지시설 운영(성립전)          26,000,000원      26000     ✅ 정산 포함
3052   본예산                   사랑의집 운영                  사무관리비             Ο사랑의집 입주자 선정위원회 심의수당       100,000원*4명*1회        400     ✅ 정산 포함
3053   본예산                   사랑의집 운영                  민간위탁금                   Ο용인시 사랑의집 위탁운영         340,000,000원     340000     ✅ 정산 포함
3054   본예산              노인장기요양 시설 급여   사회보장적수혜금(취약계층, 지방재원)                    Ο노인장기요양 시설 급여      22,476,194,000원   22476194     ✅ 정산 포함
3055   본예산                 경로당 양곡 지원       사회보장적수혜금(국고보조재원)                       Ο경로당 양곡 지원         616,139,000원     616139     ✅ 정산 포함
3056   본예산                 경로당 양곡 지원       사회보장적수혜금(국고보조재원)                   Ο경로당 양곡 지원(자체)          60,001,000원      60001     ✅ 정산 포함
3057  추경1회         독거노인 공동생활 카네이션하우스               사회복지사업보조                         Ο카네이션하우스          10,000,000원      10000     ✅ 정산 포함
3058  추경1회                 노인복지신문 보급               민간경상사업보조                          Ο노인복지신문          58,740,000원      58740     ✅ 정산 포함
3059   본예산                  노인복지관 운영                  민간위탁금                        Ο노인복지관 운영       7,229,000,000원    7229000     ✅ 정산 포함
3060  추경1회                  노인복지관 운영                  민간위탁금                        Ο노인복지관 운영       1,710,000,000원    1710000     ✅ 정산 포함
3061  추경1회                  노인복지관 운영                  민간위탁금                    Ο노인복지관 운영(자체)    경정 5,690,000,000원    5690000     ✅ 정산 포함
3062   본예산           노인복지관 종사자 처우개선비   사회보장적수혜금(취약계층, 지방재원)                 Ο노인복지관 종사자 처우개선비     100,000원*54명*12월      64800     ✅ 정산 포함
3063   본예산         노인복지관 등 종사자 처우개선비   사회보장적수혜금(취약계층, 지방재원)               Ο노인복지관 등 종사자 처우개선비          31,200,000원      31200  🔄 경정 대체 제외
3064  추경1회         노인복지관 등 종사자 처우개선비   사회보장적수혜금(취약계층, 지방재원)               Ο노인복지관 등 종사자 처우개선비       경정 48,000,000원      48000     ✅ 정산 포함
3065   본예산        노인복지관 등 종사자 특수근무수당   사회보장적수혜금(취약계층, 지방재원)              Ο노인복지관 등 종사자 특수근무수당          93,000,000원      93000     ✅ 정산 포함
3066   본예산        재가노인복지시설 종사자 처우개선비   사회보장적수혜금(취약계층, 지방재원)              Ο재가노인복지시설 종사자 처우개선비           7,380,000원       7380  🔄 경정 대체 제외
