
==================== [복지정책과] (총 169개 행) ====================
  idx= 2898 | 추경1회     | 세부: 지역사회 보장협의체 운영             | 목: 민간단체법정운영비보조     | 근거: Ο지역사회보장협의체 운영비 지원              | 식: 경정 50,000,000원            | 50,000.000000천원
  idx= 2899 | 추경1회     | 세부: 지역사회 보장협의체 운영             | 목: 민간단체법정운영비보조     | 근거: Ο지역사회보장협의체 운영비 지원(자체)          | 식: 경정 372,250,000원           | 372,250.000000천원
  idx= 2900 | 본예산      | 세부: e-그린 우편서비스                | 목: 공공운영비           | 근거: Οe-그린 우편요금                     | 식: 15,000,000원               | 15,000.000000천원
  idx= 2901 | 추경1회     | 세부: 경기도 비영리법인 등 위탁보조사업 종사자 처우개선비(지역사회보장협의체) | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο지역사회보장협의체 종사자 처우개선비           | 식: 1,800,000원                | 1,800.000000천원
  idx= 2902 | 추경1회     | 세부: 시군 비영리법인 등 위탁·보조사업 종사자 웰빙보조비(지역사회보장협의체) | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο지역사회보장협의체 종사자 웰빙보조비           | 식: 720,000원                  |   720.000000천원
  idx= 2903 | 본예산      | 세부: 재해구호물자 통합정보시스템 운영         | 목: 공공운영비           | 근거: Ο재해구호 단말기 통신서비스 요금             | 식: 400,000원                  |   400.000000천원
  idx= 2904 | 본예산      | 세부: 재난구호 지원금                  | 목: 민간인재해및복구활동보상금   | 근거: Ο이재민 지원                        | 식: 7,000,000원                | 7,000.000000천원
  idx= 2905 | 추경2회     | 세부: 고유가 피해지원금 지원              | 목: 사회보장적수혜금(국고보조재원) | 근거: Ο고유가 피해지원금 지원(성립전)             | 식: 71,824,600,000원           | 71,824,600.000000천원
  idx= 2906 | 본예산      | 세부: 동백미르휴먼센터 운영 지원            | 목: 공기관등에대한경상적위탁사업비 | 근거: Ο시설관리위탁사업 운영비                  | 식: 1,091,712,000원            | 1,091,712.000000천원
  idx= 2907 | 본예산      | 세부: 동백미르휴먼센터 운영 지원            | 목: 공기관등에대한경상적위탁사업비 | 근거: Ο위탁수수료                         | 식: 54,585,600원               | 54,586.000000천원
  idx= 2908 | 본예산      | 세부: 동백미르휴먼센터 운영 지원            | 목: 공기관등에대한자본적위탁사업비 | 근거: Ο시설관리위탁사업 물품구입                 | 식: 54,000,000원               | 54,000.000000천원
  idx= 2909 | 본예산      | 세부: 보정미르휴먼센터 운영 지원            | 목: 공기관등에대한경상적위탁사업비 | 근거: Ο시설관리위탁사업 운영비                  | 식: 1,113,748,000원            | 1,113,748.000000천원
